Spoken,Math,Args,OnlyM,GlueL,GlueR,All,LaTeX,HTML
power,1,1,0,1,0,^{$1},,
squared,1,0,0,1,0,^2,,
cubed,1,0,0,1,0,^3,,
root,1,1,0,0,0,\sqrt{$1},,
square root,1,1,0,0,0,\sqrt{$1},,
cube root,1,1,0,0,0,\sqrt[3]{$1},,
general root,1,2,0,0,0,\sqrt[$1]{$1},,
fraction,1,2,0,0,0,\frac{$1}{$2},,
binomial,1,2,0,0,0,\binom{$1}{$2},,
choose,1,2,0,0,0,\binom{$1}{$2},,
of,1,1,1,1,0,($1),,
call,1,1,0,1,0,($1),,
sum,1,2,0,0,0,\sum_{$1}^{$2},,
product,1,2,0,0,0,\prod_{$1}^{$2},,
integral,1,2,0,0,0,\int_{$1}^{$2},,
double integral,1,2,0,0,0,\iint_{$1}^{$2},,
triple integral,1,2,0,0,0,\iiint_{$1}^{$2},,
big union,1,2,0,0,0,\bigcup_{$1}^{$2},,
big cup,1,2,0,0,0,\bigcup_{$1}^{$2},,
big intersection,1,2,0,0,0,\bigcap_{$1}^{$2},,
big cap,1,2,0,0,0,\bigcap_{$1}^{$2},,
limit,1,1,0,0,0,\lim\limits_{$1},,
limit as,1,1,0,0,0,\lim\limits_{$1},,
text,1,1,0,0,0,\text{$1},,
prime,1,0,0,1,0,',,
hat,1,1,0,0,0,\hat{$1},,
grave,1,1,0,0,0,\grave{$1},,
bar,1,1,0,0,0,\bar{$1},,
dot,1,1,0,0,0,\dot{$1},,
…,1,0,0,1,1,\ldots,,
ellipsis,1,0,0,1,1,\ldots,,
omit,1,0,0,1,1,",\ldots,",,
omit center,1,0,0,0,0,\cdots,,
items,1,2,0,0,0,,"\{ $1_1, $1_2, \ldots, $1_{$2} \}","\{ $1_1, $1_2, \ldots, $1_{$2} \}"
modulo,1,1,0,0,0,\pmod{$1},,
mod,1,0,0,0,0,\bmod,,
{,0,0,0,0,1,(,,
},0,0,0,1,0,),,
+,1,0,0,0,0,+,,
math,1,1,0,0,0,$1,,
strong,0,1,0,0,0,,\textbf{$1},<b>$1</b>
emphasize,0,1,0,0,0,,\textit{$1},<em>$1</em>
emphasized,0,1,0,0,0,,\textit{$1},<em>$1</em>
quotes,0,1,0,0,0,,``$1'',"""$1"""
heading 1,0,1,0,0,0,,\section{$1},<h1>$1</h1>
heading one,0,1,0,0,0,,\section{$1},<h1>$1</h1>
section,0,1,0,0,0,,\section{$1},<h1>$1</h1>
heading 2,0,1,0,0,0,,\subsection{$1},<h2>$1</h2>
heading two,0,1,0,0,0,,\subsection{$1},<h2>$1</h2>
subsection,0,1,0,0,0,,\subsection{$1},<h2>$1</h2>
sub-section,0,1,0,0,0,,\subsection{$1},<h2>$1</h2>
sub - section,0,1,0,0,0,,\subsection{$1},<h2>$1</h2>
itemize,0,1,0,0,0,,\begin{itemize} $1 \end{itemize},<ul> $1 </ul>
enumerate,0,1,0,0,0,,\begin{enumerate} $1 \end{enumerate},<ol> $1 </ol>
item,0,1,0,0,0,,\item $1,<li> $1 </li>
